FlightId,FlightNum,Airline,PassengerCount,Departure,ScheduledDate,ScheduledTime,Terminal,PlaneId,International,Destination
1000000,5051,Volaris,160413,1,2023-05-23,09:53 AM,T1,PL158,0,Lincoln
1000001,5897,Air China,223866,1,2023-04-11,10:25 AM,T5,PL8,0,Frisco
1000002,2255,Philippine Airlines,266035,1,2023-11-02,10:41 AM,T5,PL56,0,Indianapolis
1000003,6665,China Airlines,6195,0,2023-08-24,09:31 PM,T6,PL42,1,Bosnia and Herzegovina
1000004,1078,Air India,54925,0,2023-12-29,10:03 PM,T8,PL170,0,Wichita
1000005,8580,TAP Air Portugal,365255,0,2023-09-17,10:50 PM,T5,PL48,0,San Francisco
1000006,1047,Finnair,20394,0,2023-09-30,12:56 AM,Miscellaneous,PL180,0,Albuquerque
1000007,1725,Iberia,110785,0,2023-05-23,12:09 PM,T6,PL61,0,Anchorage
1000008,5795,Southwest Airlines,15251,1,2023-05-12,12:40 AM,T7,PL76,1,Benin
1000009,2511,WestJet,162770,0,2023-04-06,10:01 AM,T1,PL99,0,Milwaukee
1000010,6058,Delta Air Lines,242919,1,2023-02-19,04:17 PM,T4,PL164,0,Irving
1000011,8626,Qantas,199,0,2023-05-03,04:38 PM,Miscellaneous,PL50,1,Benin
1000012,7103,JetBlue Airways,207905,0,2023-11-03,11:06 AM,T4,PL186,0,Jersey City
1000013,8214,Hawaiian Airlines,17142,1,2023-07-04,11:48 PM,T4,PL107,1,Afghanistan
1000014,7751,WestJet,220456,0,2023-01-21,11:40 PM,T5,PL46,0,Santa Ana
1000015,3099,Qantas,7495,0,2023-04-14,09:27 PM,T6,PL42,1,Ivory Coast
1000016,4321,Saudia,258987,1,2023-09-21,06:25 AM,T2,PL99,0,Fontana
1000017,1073,Avianca,244,0,2023-01-13,12:43 AM,Miscellaneous,PL17,0,Lubbock
1000018,1156,China Airlines,19161,1,2023-10-30,08:03 PM,T2,PL108,1,Oman
1000019,8868,British Airways,19884,1,2023-12-20,04:40 AM,Miscellaneous,PL45,0,Yonkers
1000020,5790,Cathay Pacific,65705,0,2023-01-18,11:31 PM,Miscellaneous,PL198,0,Tempe
1000021,1208,WestJet,47627,1,2023-02-28,07:31 AM,T8,PL168,0,Lexington
1000022,3705,TAP Air Portugal,141457,0,2023-12-07,02:58 AM,T7,PL5,0,Fremont
1000023,1469,Air India,2953,1,2023-08-05,01:22 AM,T8,PL119,1,Mozambique
1000024,5437,JetBlue Airways,49034,1,2023-07-13,06:52 PM,T8,PL156,0,Mesa
1000025,9639,El Al,49,0,2023-05-31,11:10 PM,T5,PL23,1,Dominica
1000026,7935,Etihad Airways,2351,0,2023-03-27,11:15 AM,T4,PL35,1,Kazakhstan
1000027,9856,Alaska Airlines,1255,1,2023-04-22,11:52 PM,T8,PL80,1,Kosovo
1000028,3602,Cathay Pacific,111915,1,2023-04-09,03:02 AM,T6,PL112,0,Nashville
1000029,2249,Thai Airways,393,1,2023-02-01,03:16 AM,Miscellaneous,PL139,0,Baltimore
1000030,5696,TAP Air Portugal,1471,1,2023-03-11,04:22 AM,T5,PL96,1,Kyrgyzstan
1000031,1868,Volaris,3691,0,2023-10-02,06:41 AM,T4,PL18,1,Bangladesh
1000032,7385,Iberia,45065,1,2023-11-27,11:49 PM,TBIT,PL65,0,Denver
1000033,4287,Lufthansa,51251,0,2023-05-09,08:33 AM,T8,PL116,0,Memphis
1000034,5120,Air China,37998,0,2023-10-28,06:38 PM,T7,PL173,1,Bahrain
1000035,5133,Virgin Atlantic,17475,1,2023-03-04,07:48 AM,T7,PL174,1,Ethiopia
1000036,7222,Qantas,138132,1,2023-07-12,10:45 AM,T7,PL124,0,Madison
1000037,3125,Frontier Airlines,221008,1,2023-11-26,01:03 AM,T2,PL75,0,Miami
1000038,5143,Avianca,185,0,2023-11-20,05:11 AM,T5,PL158,1,Oman
1000039,7736,EVA Air,141929,0,2023-03-10,07:00 AM,T1,PL167,0,Newport News
1000040,8390,Air China,133224,0,2023-05-01,06:15 PM,T7,PL11,0,Rancho Cucamonga
1000041,6789,Etihad Airways,11622,1,2023-05-30,12:42 AM,T4,PL3,1,Poland
1000042,6076,Virgin Atlantic,1671,1,2023-04-25,02:15 AM,T5,PL171,1,Samoa
1000043,4041,Air India,149482,1,2023-09-24,12:49 PM,T7,PL32,0,Glendale
1000044,1680,British Airways,258613,0,2023-03-03,09:19 PM,T2,PL122,0,Chandler
1000045,3339,Asiana Airlines,43593,1,2023-06-20,03:12 AM,TBIT,PL115,0,Frisco
