FlightId,FlightNum,Airline,PassengerCount,Arrival,ScheduledDate,ScheduledTime,TerminalNum,Domestic
1000000,8238,LATAM Airlines,160413,Departure,7/4/2023,04:50 PM,T1,Domestic
1000001,4866,Air New Zealand,223866,Departure,2/6/2023,12:25 PM,T5,Domestic
1000002,7397,Alitalia,266035,Departure,3/13/2023,11:42 PM,T5,Domestic
1000003,7477,Singapore Airlines,6195,Arrival,7/1/2023,10:04 PM,T6,International
1000004,7632,China Airlines,54925,Arrival,10/23/2023,12:18 PM,T8,Domestic
1000005,5346,Thai Airways,365255,Arrival,5/9/2023,09:36 PM,T5,Domestic
1000006,6793,Allegiant Air,20394,Arrival,8/27/2023,06:34 PM,Miscellaneous Terminal,Domestic
1000007,3628,Lufthansa,110785,Arrival,4/24/2023,08:23 PM,T6,Domestic
1000008,2660,Korean Air,15251,Departure,9/23/2023,04:44 PM,T7,International
1000009,5113,Asiana Airlines,162770,Arrival,8/28/2023,11:50 PM,T1,Domestic
1000010,4978,Cathay Pacific,242919,Departure,12/14/2023,05:11 PM,T4,Domestic
1000011,9771,Air New Zealand,199,Arrival,5/22/2023,05:55 PM,Miscellaneous Terminal,International
1000012,5205,Turkish Airlines,207905,Arrival,11/8/2023,11:07 AM,T4,Domestic
1000013,8153,China Airlines,17142,Departure,12/30/2023,02:53 AM,T4,International
1000014,4945,Scandinavian Airlines,220456,Arrival,2/9/2023,03:03 AM,T5,Domestic
1000015,4512,Hawaiian Airlines,7495,Arrival,4/28/2023,04:37 AM,T6,International
1000016,3088,Finnair,258987,Departure,8/21/2023,10:14 PM,T2,Domestic
1000017,7483,Qantas,244,Arrival,8/21/2023,07:48 PM,Miscellaneous Terminal,Domestic
1000018,1420,Qantas,19161,Departure,3/4/2023,04:51 PM,T2,International
1000019,5272,British Airways,19884,Departure,2/15/2023,08:13 PM,Miscellaneous Terminal,Domestic
1000020,1064,Saudia,65705,Arrival,5/16/2023,08:45 AM,Miscellaneous Terminal,Domestic
1000021,3708,Philippine Airlines,47627,Departure,5/6/2023,07:40 PM,T8,Domestic
1000022,8415,Air India,141457,Arrival,4/5/2023,12:43 PM,T7,Domestic
1000023,5255,Turkish Airlines,2953,Departure,11/15/2023,04:51 PM,T8,International
1000024,1716,Alitalia,49034,Departure,6/7/2023,11:03 AM,T8,Domestic
1000025,7766,Asiana Airlines,49,Arrival,9/27/2023,07:26 AM,T5,International
1000026,4768,Air New Zealand,2351,Arrival,2/3/2023,10:12 PM,T4,International
1000027,7421,Air China,1255,Departure,11/24/2023,03:22 PM,T8,International
1000028,4115,Etihad Airways,111915,Departure,2/1/2023,06:57 AM,T6,Domestic
1000029,5171,Singapore Airlines,393,Departure,2/13/2023,09:33 PM,Miscellaneous Terminal,Domestic
1000030,9000,Etihad Airways,1471,Departure,12/26/2023,11:11 AM,T5,International
1000031,9099,Alaska Airlines,3691,Arrival,11/15/2023,03:47 PM,T4,International
1000032,6249,Southwest Airlines,45065,Departure,1/4/2023,12:20 AM,TBIT,Domestic
1000033,7183,Qatar Airways,51251,Arrival,4/28/2023,04:30 AM,T8,Domestic
1000034,1470,EVA Air,37998,Arrival,3/23/2023,08:09 PM,T7,International
1000035,2075,China Airlines,17475,Departure,2/15/2023,12:41 AM,T7,International
1000036,4609,Finnair,138132,Departure,12/24/2023,05:22 PM,T7,Domestic
1000037,5936,Copa Airlines,221008,Departure,5/22/2023,04:17 PM,T2,Domestic
1000038,3198,Virgin Atlantic,185,Arrival,10/6/2023,02:23 AM,T5,International
1000039,1265,El Al,141929,Arrival,1/24/2023,12:05 AM,T1,Domestic
1000040,9985,Japan Airlines,133224,Arrival,2/27/2023,03:13 PM,T7,Domestic
1000041,1712,Swiss International Air Lines,11622,Departure,10/9/2023,12:33 PM,T4,International
1000042,1916,Iberia,1671,Departure,4/2/2023,05:27 PM,T5,International
1000043,7378,Fiji Airways,149482,Departure,3/30/2023,10:10 AM,T7,Domestic
1000044,7492,United Airlines,258613,Arrival,10/17/2023,09:41 PM,T2,Domestic
1000045,3226,Alaska Airlines,43593,Departure,7/7/2023,06:08 AM,TBIT,Domestic
1000046,7889,Etihad Airways,209389,Departure,5/30/2023,10:33 AM,T4,Domestic
1000047,5273,Volaris,38619,Departure,7/21/2023,05:36 AM,T6,International
1000048,4070,LATAM Airlines,294362,Arrival,2/15/2023,03:43 PM,T2,Domestic
1000049,6002,Japan Airlines,10637,Arrival,4/20/2023,03:35 PM,T6,International
1000050,2783,Delta Air Lines,47269,Arrival,12/11/2023,01:10 AM,T7,International
1000051,6095,Cathay Pacific,140186,Departure,5/21/2023,02:42 PM,T1,Domestic
1000052,9224,Thai Airways,134906,Arrival,10/10/2023,09:35 AM,T6,Domestic
1000053,6658,Avianca,351074,Departure,8/27/2023,10:49 AM,T4,Domestic
1000054,2401,JetBlue Airways,18479,Departure,4/4/2023,06:43 PM,T2,International
1000055,9632,Fiji Airways,133773,Departure,1/24/2023,03:04 AM,T6,Domestic
1000056,1572,Fiji Airways,4399,Arrival,12/1/2023,10:55 PM,TBIT,Domestic
1000057,4199,Alitalia,242914,Arrival,6/24/2023,08:24 PM,T4,Domestic
1000058,7413,TAP Air Portugal,178,Departure,6/15/2023,09:31 AM,Miscellaneous Terminal,International
1000059,7777,Airlines,271545,Arrival,9/21/2023,02:42 AM,T5,Domestic
1000060,5839,Aeroflot,3322,Arrival,2/19/2023,02:47 AM,TBIT,Domestic
1000061,6222,China Airlines,35582,Departure,3/2/2023,05:02 AM,T6,International
1000062,2314,Korean Air,130832,Departure,3/28/2023,03:02 AM,TBIT,International
1000063,5397,Norwegian Air Shuttle,306,Departure,11/25/2023,05:38 AM,Miscellaneous Terminal,International
1000064,9297,Air China,269242,Departure,11/7/2023,07:10 PM,T7,Domestic
1000065,1255,Qantas,114917,Arrival,12/4/2023,05:36 PM,TBIT,International
1000066,4694,Copa Airlines,59897,Arrival,8/20/2023,09:27 PM,TBIT,International
1000067,5410,Aeroflot,158090,Arrival,7/14/2023,01:17 AM,T6,Domestic
1000068,5304,TAP Air Portugal,56,Arrival,12/5/2023,02:35 AM,T8,International
1000069,2366,Alaska Airlines,146268,Arrival,7/17/2023,11:56 AM,T6,Domestic
1000070,4600,Allegiant Air,92878,Departure,8/25/2023,02:07 PM,TBIT,International
1000071,8371,Finnair,3855,Arrival,9/2/2023,05:16 AM,TBIT,Domestic
1000072,2498,Scandinavian Airlines,222540,Arrival,3/15/2023,07:08 PM,T7,Domestic
1000073,8518,Etihad Airways,169616,Departure,11/30/2023,11:27 AM,T7,Domestic
1000074,7165,Copa Airlines,72626,Departure,4/6/2023,03:13 AM,TBIT,International
1000075,7405,Saudia,90663,Departure,3/25/2023,08:08 PM,TBIT,International
1000076,1434,American Airlines,303360,Arrival,3/27/2023,09:15 PM,T4,Domestic
1000077,5124,Air India,109224,Arrival,8/26/2023,12:12 AM,TBIT,International
1000078,4938,Finnair,2867,Arrival,8/7/2023,11:00 PM,T6,International
1000079,4917,Southwest Airlines,88979,Arrival,4/11/2023,11:05 AM,TBIT,International
1000080,4893,Turkish Airlines,76953,Departure,1/9/2023,06:42 PM,TBIT,International
1000081,6695,Lufthansa,83971,Arrival,10/29/2023,09:33 AM,TBIT,International
1000082,8319,United Airlines,184294,Departure,4/5/2023,12:25 AM,T1,Domestic
1000083,4066,Air India,58683,Departure,12/12/2023,02:00 AM,T8,Domestic
1000084,3922,Japan Airlines,340719,Departure,12/1/2023,02:34 AM,T5,Domestic
1000085,1477,Allegiant Air,82096,Departure,6/21/2023,06:20 AM,TBIT,International
1000086,2311,Volaris,277464,Arrival,5/23/2023,10:50 PM,T7,Domestic
1000087,5680,Singapore Airlines,110476,Departure,10/12/2023,12:38 PM,TBIT,International
1000088,9645,Air China,208353,Arrival,6/4/2023,02:29 PM,TBIT,International
1000089,3484,British Airways,92717,Departure,9/18/2023,12:42 PM,TBIT,International
1000090,9332,Alaska Airlines,68791,Departure,5/7/2023,01:42 AM,TBIT,International
1000091,8918,Saudia,106034,Departure,6/8/2023,02:13 PM,T8,Domestic
1000092,5259,Southwest Airlines,306640,Departure,4/29/2023,07:55 PM,T4,Domestic
1000093,9404,Aeroflot,28784,Departure,8/8/2023,09:47 PM,Miscellaneous Terminal,Domestic
1000094,7227,Fiji Airways,148770,Departure,4/26/2023,07:46 PM,T6,Domestic
1000095,6679,Philippine Airlines,76923,Arrival,1/24/2023,09:28 AM,TBIT,International
1000096,1228,EVA Air,35662,Departure,11/15/2023,04:36 AM,T6,International
1000097,8448,Hawaiian Airlines,188164,Arrival,6/6/2023,03:35 AM,T1,Domestic
1000098,6677,Aeroflot,57833,Arrival,9/17/2023,02:42 AM,T8,Domestic
1000099,2519,Hawaiian Airlines,6351,Departure,4/10/2023,08:56 AM,T8,International
1000100,1572,Copa Airlines,320,Arrival,9/6/2023,05:15 PM,Miscellaneous Terminal,International
1000101,6290,United Airlines,120988,Arrival,3/9/2023,06:21 AM,TBIT,International
1000102,9170,Korean Air,349982,Arrival,9/6/2023,08:16 AM,T5,Domestic
1000103,1554,Turkish Airlines,11960,Departure,6/22/2023,01:46 PM,T4,International
1000104,7322,Volaris,154701,Arrival,5/26/2023,07:59 AM,TBIT,International
1000105,1956,Hawaiian Airlines,98776,Departure,1/10/2023,10:54 AM,TBIT,International
1000106,5361,Spirit Airlines,142313,Arrival,8/9/2023,08:12 AM,TBIT,International
1000107,4641,Aeromexico,30574,Arrival,10/5/2023,10:33 PM,Miscellaneous Terminal,Domestic
1000108,6684,Korean Air,461734,Arrival,1/26/2023,09:06 PM,T2,Domestic
1000109,7649,Cathay Pacific,26862,Departure,1/15/2023,11:39 AM,T7,International
1000110,5108,Volaris,167366,Arrival,1/1/2023,08:30 AM,T7,Domestic
1000111,1960,Alitalia,7026,Departure,10/13/2023,11:28 AM,T5,International
1000112,4159,Saudia,73267,Departure,9/4/2023,12:34 AM,TBIT,Domestic
1000113,4237,Southwest Airlines,29119,Departure,6/7/2023,07:32 PM,T2,International
1000114,7750,Air China,395010,Departure,12/14/2023,05:15 AM,T2,Domestic
1000115,7935,Emirates,50595,Arrival,12/9/2023,10:08 AM,T7,International
1000116,9913,Saudia,121931,Arrival,3/23/2023,05:26 AM,TBIT,International
1000117,7359,Alaska Airlines,2118,Arrival,3/5/2023,08:12 PM,T4,International
1000118,4189,WestJet,10405,Arrival,8/22/2023,08:38 AM,T2,International
1000119,7361,American Airlines,47471,Arrival,4/1/2023,04:34 PM,T7,International
1000120,4974,Qatar Airways,23863,Departure,5/13/2023,09:39 AM,T2,International
1000121,1891,Alitalia,153421,Departure,8/13/2023,07:25 AM,TBIT,International
1000122,2202,Volaris,41344,Departure,6/2/2023,05:18 PM,T6,International
1000123,3480,Alaska Airlines,69782,Arrival,8/2/2023,05:07 AM,T8,Domestic
1000124,1404,Spirit Airlines,355446,Arrival,7/19/2023,01:04 PM,T4,Domestic
1000125,5822,Etihad Airways,13522,Departure,12/20/2023,11:35 PM,T5,International
1000126,6936,JetBlue Airways,229869,Arrival,6/3/2023,09:54 PM,TBIT,International
1000127,2729,Norwegian Air Shuttle,226122,Departure,7/21/2023,12:12 AM,T1,Domestic
1000128,6479,Frontier Airlines,9,Arrival,4/3/2023,12:58 PM,Miscellaneous Terminal,International
1000129,4393,Aeromexico,268,Arrival,9/8/2023,11:23 AM,Miscellaneous Terminal,International
1000130,4989,Aeromexico,11204,Departure,6/28/2023,07:52 PM,T8,International
1000131,6827,Aeroflot,412607,Departure,3/11/2023,04:18 AM,T2,Domestic
1000132,2026,United Airlines,13271,Departure,2/2/2023,03:38 PM,T4,International
1000133,3779,Qatar Airways,155227,Departure,8/21/2023,05:25 AM,TBIT,International
1000134,4571,Korean Air,232472,Arrival,12/8/2023,05:26 PM,TBIT,International
1000135,1908,China Airlines,380047,Departure,11/15/2023,09:07 AM,T5,Domestic
1000136,1506,Cathay Pacific,222638,Departure,1/9/2023,03:23 PM,T7,Domestic
1000137,1434,Air New Zealand,488718,Arrival,9/10/2023,11:10 AM,T2,Domestic
1000138,4224,Allegiant Air,226637,Arrival,6/30/2023,07:53 AM,T1,Domestic
